mots,fréquence d'apparition depuis début 2023
"['écologique', 'relève', 'dogm', 'suicidaire', 'falloir', 'toucher', 'nature', 'revenir', 'lâge', 'pierre', 'monde', 'temps', 'moindre', 'imprévu', 'sécroulex000d', 'concept', 'résilience', 'réserve', 'lavenirx000d', 'bassine']",1
"['appelon', 'suspendre', 'processu', 'promulgation', 'plfrss', 'ouvrir', 'assise', 'national', 'travail', 'emploi', 'vue', 'écologique', 'organiser', 'party', 'prenant', 'permettre', 'refonder', 'contrat', 'social']",1
"['manifestation', 'mégabassine', 'sinscriver', 'mouvement', 'emblématique', 'lien', 'étroit', 'grand', 'projet', 'inutile', 'imposer', 'écologique']",1
"['déplore', 'labsenc', 'dinstance', 'citoyen', 'associer', 'choix', 'matière', 'écologique']",1
"['finir', 'bassine', 'privilégier', 'écologique', 'culture', 'continuer', 'culture', 'gourmand', 'eau', 'détriment', 'dalternativ', 'économique', 'époque', 'leau', 'denrer', 'moyen']",1
"['résidence', 'accélération', 'écologique', 'question', 'team', 'émaho', 'x000d', '1ère', 'corse', 'entreprise', 'sélectionné', 'accélérer', 'écologique', 'team', 'évoqu', 'point', 'jour', 'tremplin', 'hôtel', 'fesch', 'ajaccio']",1
"['gouvernement', 'cacher', 'échec', 'légalité', 'salarial', 'femme', 'homme', 'incapaciter', 'créer', 'emploi', 'lancer', 'écologique', 'agricolex000d', 'équilibrer', 'cotisatier']",1
"['voir', 'essayer', 'manipuler', 'lopinion', 'sale', 'faîte', 'projet', 'rejet', 'division', 'dinsurrection', 'écologique', '6e', 'république', 'révocation', 'élu', 'égalité', 'salarial', 'hf', 'venir']",1
"['fabriquer', 'véhicule', 'électrique', 'financer', 'écologique', 'triste', 'réalité']",1
"['effectivement', 'risque', 'arriver', 'accélèr', 'écologiqueénergétiqu']",1
"['greenwashing', 'pratique', 'trompeur', 'nuit', 'écologique', 'découvrir', 'green', 'claim', 'directive', 'fin', 'europ', 'greenclaimsdirectiv', 'greenwashing', 'environnementx000d', 'bitly3k9x5lf']",1
"['bel', 'écologiqueune', 'hont']",1
"['falloir', 'fournir', 'congo', 'année', 'lumière', 'écologiquex000d', 'coeur', 'saign']",1
"['ville', 'renne', 'investit', 'écologique', 'social', 'villejean', 'présentation', 'copropriété', 'privé', 'dall', 'kennedy', 'dispositif', 'accompagnement', 'territoire', 'public', 'étude', 'matière', 'chauffage', 'rénovation', 'immeuble']",1
